10000; 0.003
20000; 0.006
30000; 0.002
40000; 0.020
50000; 0.018
60000; 0.013
70000; 0.015
80000; 0.010
90000; 0.013
100000; 0.039
10000; 0.003
20000; 0.002
30000; 0.008
40000; 0.003
50000; 0.004
60000; 0.008
70000; 0.010
80000; 0.020
90000; 0.037
100000; 0.040
200000; 0.104
200000; 0.070
10000; 0.002
20000; 0.003
30000; 0.007
40000; 0.012
50000; 0.019
60000; 0.014
70000; 0.009
80000; 0.022
90000; 0.030
100000; 0.015
10000; 0.001
20000; 0.002
30000; 0.003
40000; 0.004
80000; 0.009
90000; 0.011
100000; 0.012
100000; 0.020
160000; 0.026
220000; 0.037
280000; 0.038
340000; 0.048
400000; 0.055
460000; 0.063
100000; 0.017
160000; 0.026
220000; 0.040
280000; 0.048
340000; 0.052
400000; 0.053
460000; 0.064
